id,host_id,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,extra_people,minimum_nights,instant_bookable,cancellation_policy,review_scores_location,review_scores_value,number_of_reviews
15896822,69018624,1.0,False,True,False,True,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,23.0,8.0,7,False,flexible,10.0,10.0,1
4836957,18154504,1.0,False,True,True,True,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,50.0,0.0,1,False,moderate,9.0,10.0,15
16374418,3430124,1.0,False,True,False,False,House,Private room,2,2.0,1.0,2.0,Real Bed,56.0,0.0,1,True,flexible,9.0,10.0,2
12296555,33096320,0.9,False,True,True,False,House,Entire home/apt,5,2.0,2.0,4.0,Real Bed,135.0,0.0,2,False,strict,10.0,9.0,10
5344655,27697324,1.0,True,True,False,True,House,Private room,2,0.5,1.0,1.0,Real Bed,32.0,0.0,1,False,moderate,10.0,10.0,18
14912894,72718519,1.0,False,True,True,False,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,20.0,9.0,2,False,flexible,9.0,9.0,6
14296637,34769575,1.0,False,True,True,True,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,23.0,10.0,1,False,strict,10.0,10.0,2
13844847,47654068,1.0,False,True,False,False,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,35.0,25.0,1,True,flexible,9.0,7.0,4
6222799,32264660,1.0,True,True,False,True,House,Private room,3,1.0,1.0,1.0,Real Bed,45.0,10.0,1,False,moderate,10.0,10.0,12
15421169,97756975,0.71,False,True,False,False,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,0.0,2,False,flexible,10.0,10.0,1
6290335,32702986,1.0,False,True,True,True,Chalet,Private room,2,1.0,1.0,1.0,Real Bed,60.0,0.0,1,False,flexible,8.0,9.0,12
13577025,45469611,1.0,True,True,False,False,Apartment,Entire home/apt,7,1.0,2.0,4.0,Real Bed,150.0,30.0,3,False,strict,10.0,10.0,2
16716104,90757380,1.0,False,True,False,True,House,Private room,2,2.0,1.0,1.0,Real Bed,60.0,50.0,1,False,flexible,10.0,10.0,1
7283027,26831951,1.0,False,True,True,True,Tent,Private room,2,1.0,1.0,1.0,Airbed,22.0,10.0,2,False,flexible,9.0,9.0,12
16185476,83699073,1.0,False,True,False,False,Bed & Breakfast,Private room,2,0.5,1.0,1.0,Real Bed,28.0,10.0,1,False,flexible,9.0,9.0,4
10085459,15082436,1.0,False,True,True,False,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,85.0,15.0,5,False,strict,9.0,10.0,24
14527936,89813442,1.0,False,True,False,False,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30.0,18.0,2,True,moderate,10.0,9.0,6
6179409,32033043,1.0,True,True,True,True,House,Private room,2,1.0,1.0,1.0,Real Bed,55.0,0.0,1,True,moderate,10.0,10.0,24
6745039,35316592,1.0,True,True,True,False,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,45.0,20.0,1,False,flexible,10.0,10.0,59
375799,1889832,1.0,True,True,False,True,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,80.0,15.0,7,False,strict,10.0,9.0,51
14894399,93463316,1.0,False,True,False,True,House,Private room,2,1.5,1.0,1.0,Real Bed,32.0,0.0,1,True,flexible,10.0,10.0,4
14535520,10407160,1.0,False,True,True,False,Apartment,Shared room,1,1.0,1.0,1.0,Pull-out Sofa,25.0,0.0,2,False,moderate,10.0,9.0,6
1530163,8161941,1.0,False,True,True,True,House,Private room,9,4.0,5.0,2.0,Real Bed,59.0,0.0,3,False,strict,9.0,9.0,17
16909573,8129765,1.0,False,True,False,False,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,82.0,0.0,1,True,flexible,10.0,9.0,6
7515814,26371060,1.0,True,True,True,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,59.0,0.0,2,False,moderate,10.0,10.0,47
9964915,51206977,1.0,False,True,False,True,House,Private room,2,2.0,1.0,1.0,Real Bed,29.0,5.0,1,True,strict,10.0,10.0,24
6312587,32839572,1.0,False,True,True,True,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,60.0,0.0,1,False,strict,6.0,6.0,2
9851854,50718952,1.0,False,True,True,False,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,29.0,0.0,3,False,strict,9.0,10.0,22
16668404,104823914,1.0,False,True,True,False,House,Private room,1,1.0,1.0,1.0,Real Bed,28.0,0.0,1,False,moderate,10.0,10.0,1
12081174,16735895,1.0,False,True,True,True,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,65.0,0.0,1,False,flexible,10.0,10.0,2
5902097,21799011,1.0,False,True,False,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,75.0,10.0,2,False,moderate,10.0,10.0,20
5135737,26551969,1.0,False,True,False,False,Apartment,Entire home/apt,4,1.0,1.0,4.0,Real Bed,155.0,0.0,14,False,strict,10.0,9.0,2
13131313,73134251,1.0,False,True,False,False,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,75.0,20.0,1,False,flexible,9.0,9.0,14
2499857,12794782,1.0,False,True,False,True,House,Private room,1,2.5,1.0,1.0,Real Bed,49.0,20.0,2,False,flexible,10.0,9.0,18
15230812,22920610,1.0,False,True,True,True,House,Private room,2,1.0,1.0,1.0,Real Bed,29.0,7.0,1,False,flexible,9.0,9.0,7
1197908,6543906,1.0,False,True,False,True,Bed & Breakfast,Private room,4,1.5,1.0,3.0,Real Bed,52.0,15.0,2,False,moderate,9.0,9.0,21
6620809,6543906,1.0,False,True,False,True,Bed & Breakfast,Private room,1,1.5,1.0,1.0,Real Bed,40.0,0.0,2,True,moderate,9.0,9.0,3
5796403,1889832,1.0,True,True,False,False,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,60.0,0.0,4,False,strict,10.0,10.0,25
14171678,43159893,1.0,False,True,True,False,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,99.0,0.0,1,False,flexible,10.0,10.0,1
15351417,97924595,0.88,False,True,False,True,Guesthouse,Private room,2,1.0,1.0,1.0,Real Bed,40.0,0.0,2,False,flexible,8.0,10.0,1
12105029,64907250,1.0,False,True,False,True,House,Private room,2,2.0,1.0,1.0,Real Bed,60.0,15.0,2,False,flexible,10.0,10.0,12
5536091,28704848,1.0,False,True,True,False,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,29.0,0.0,1,False,moderate,10.0,9.0,12
15232397,91928628,1.0,False,True,False,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,120.0,0.0,4,False,strict,10.0,10.0,2
16040997,16057345,0.67,False,True,False,False,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,150.0,0.0,2,False,strict,10.0,9.0,6
10264701,52777957,1.0,False,True,True,False,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,35.0,4.0,2,False,flexible,9.0,9.0,8
16819140,43483271,1.0,False,True,False,True,House,Private room,2,1.0,1.0,1.0,Real Bed,35.0,5.0,1,False,flexible,6.0,10.0,1
4501112,23343766,1.0,False,True,False,True,House,Entire home/apt,6,2.5,3.0,6.0,Real Bed,250.0,0.0,3,False,strict,9.0,10.0,2
